firm,ndc_firm_id
WEST VIRGINIA UNIVERSITY,65008
"Takeda Vaccines, Inc.",00944
BOEHRINGER INGELHEIM VETMEDICA GMBH,00597
NEW YORK UNIVERSITY,82355
FIRST WATER LIMITED,53117
"Pioneer Surgical Technology, Inc.",72090
University of Macau,60215
AstraZeneca AB,00186
"SHENZHEN CHIPSCREEN BIOSCIENCES CO., LTD.",84449
THE UNIVERSITY OF BRITISH COLUMBIA,60215
"CELGENE QUANTICEL RESEARCH, INC.",59572
Cadila Healthcare Ltd.,71209
MMV MEDICINES FOR MALARIA VENTURE,71705
NORTH CAROLINA STATE UNIVERSITY,42887
ABBVIE BIOTHERAPEUTICS INC.,00032
"Eureka Therapeutics, Inc.",66754
"GUANGZHOU INSTITUTES OF BIOMEDICINE AND HEALTH, CHINESE ACADEMY OF SCIENCES",84148
"The Medical College of Wisconsin, Inc.",62137
University of Southern California,60215
Pfizer Inc.,00013
University of Massachusetts Lowell,60215
"Able Cerebral, LLC",13733
"Corium International, Inc.",65038
